created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2025-04-25T18:09:33Z,184,217,1088,1,0,365,1325,31.00000,77.40000
2025-04-25T18:09:49Z,185,220,1092,1,0,368,1319,31.00000,77.30000
2025-04-25T18:10:06Z,186,219,1095,1,0,364,1317,31.00000,77.40000
2025-04-25T18:10:22Z,187,219,1097,2,0,369,1320,31.00000,77.50000
2025-04-25T18:10:38Z,188,220,1094,1,0,370,1317,31.00000,77.50000
2025-04-25T18:10:54Z,189,218,1098,1,0,370,1312,31.00000,77.50000
2025-04-25T18:11:10Z,190,217,1096,1,0,369,1314,31.00000,77.50000
2025-04-25T18:11:26Z,191,207,1074,74,94,352,1282,30.80000,77.70000
2025-04-25T18:11:42Z,192,190,1026,0,0,319,1205,30.70000,78.00000
2025-04-25T18:11:58Z,193,194,1015,0,0,330,1211,30.50000,78.40000
2025-04-25T18:12:14Z,194,197,1006,0,0,338,1239,30.40000,78.90000
2025-04-25T18:12:30Z,195,197,1018,0,0,345,1394,30.40000,79.10000
2025-04-25T18:12:46Z,196,196,1022,0,0,353,1476,30.40000,79.30000
2025-04-25T18:13:02Z,197,192,1040,0,0,358,1439,30.50000,79.30000
2025-04-25T18:13:18Z,198,189,1051,0,0,358,1439,30.60000,79.00000
2025-04-25T18:13:34Z,199,191,1058,0,0,360,1434,30.70000,78.60000
2025-04-25T18:13:50Z,200,196,1057,0,0,369,1414,30.70000,78.50000
2025-04-25T18:14:06Z,201,190,1047,0,0,361,1400,30.70000,78.40000
2025-04-25T18:14:22Z,202,187,1049,0,0,363,1417,30.70000,78.40000
2025-04-25T18:14:38Z,203,194,1051,0,0,362,1444,30.70000,78.30000
2025-04-25T18:14:54Z,204,187,1049,0,0,358,1443,30.80000,78.40000
2025-04-25T18:15:10Z,205,187,1043,0,0,356,1466,30.80000,78.20000
2025-04-25T18:15:26Z,206,193,1053,0,0,357,1469,30.90000,78.10000
2025-04-25T18:15:43Z,207,192,1053,0,0,359,1467,30.90000,77.90000
2025-04-25T18:15:59Z,208,193,1059,0,0,360,1449,30.90000,77.80000
2025-04-25T18:16:15Z,209,195,1059,0,0,360,1423,30.90000,77.80000
2025-04-25T18:16:31Z,210,192,1052,0,0,355,1456,30.90000,77.90000
2025-04-25T18:16:47Z,211,193,1047,0,0,352,1469,30.90000,77.70000
2025-04-25T18:17:03Z,212,191,1053,0,0,358,1419,31.00000,77.60000
2025-04-25T18:17:20Z,213,191,1056,0,0,355,1402,31.00000,77.60000
2025-04-25T18:17:36Z,214,191,1052,0,0,355,1459,30.90000,77.60000
2025-04-25T18:17:52Z,215,194,1059,0,0,358,1496,30.90000,77.80000
2025-04-25T18:18:08Z,216,165,843,3,3,296,1189,nan,nan
