DATE,TIME,MQ2,MQ3,MQ4,MQ6,MQ7,MQ135,TEMP,HUMI,Average,1323.456022,2604.59134,730.0798376,1375.630582,1506.522327,2269.31935,35.80933694,68.67997294
21/05/2025,23:35:44,1289,2558,701,1254,1535,2281,34.1,59.7,,,,,,,,,
21/05/2025,23:35:33,1287,2557,700,1256,1538,2276,34.1,59.7,,,,,,,,,
21/05/2025,23:35:22,1290,2558,700,1262,1538,2279,34.1,59.9,,,,,,,,,
21/05/2025,23:35:11,1288,2558,691,1259,1535,2290,34.1,60.1,,,,,,,,,
21/05/2025,23:35:00,1289,2563,701,1257,1538,2285,34.1,60.2,,,,,,,,,
21/05/2025,23:34:49,1291,2563,705,1255,1546,2283,34.1,60.2,,,,,,,,,
21/05/2025,23:34:38,1294,2577,703,1265,1549,2288,34.1,60.2,,,,,,,,,
21/05/2025,23:34:27,1293,2581,699,1261,1548,2292,34.1,60.3,,,,,,,,,
21/05/2025,23:34:16,1294,2584,709,1265,1547,2291,34.1,60.3,,,,,,,,,
21/05/2025,23:34:05,1298,2585,701,1273,1555,2285,34.1,60.4,,,,,,,,,
21/05/2025,23:33:55,1298,2587,711,1263,1548,2291,34.1,60.5,,,,,,,,,
21/05/2025,23:33:44,1297,2585,699,1262,1546,2292,34.1,60.6,,,,,,,,,
21/05/2025,23:33:33,1299,2591,698,1264,1542,2293,34.1,60.6,,,,,,,,,
21/05/2025,23:33:21,1297,2592,704,1269,1545,2291,34.1,60.7,,,,,,,,,
21/05/2025,23:33:10,1298,2591,700,1272,1551,2298,34.1,60.7,,,,,,,,,
21/05/2025,23:32:59,1298,2598,704,1268,1556,2299,34.1,60.8,,,,,,,,,
21/05/2025,23:32:47,1301,2602,708,1270,1554,2298,34.1,60.8,,,,,,,,,
21/05/2025,23:32:37,1303,2606,708,1272,1563,2309,34.1,60.8,,,,,,,,,
21/05/2025,23:32:26,1304,2607,705,1273,1561,2307,34.1,60.8,,,,,,,,,
21/05/2025,23:32:15,1303,2606,712,1272,1562,2307,34.1,60.8,,,,,,,,,
21/05/2025,23:32:04,1306,2607,709,1268,1562,2308,34.1,60.8,,,,,,,,,
21/05/2025,23:31:52,1307,2608,711,1271,1563,2319,34.1,60.8,,,,,,,,,
21/05/2025,23:31:41,1306,2607,713,1267,1561,2307,34.1,60.8,,,,,,,,,
21/05/2025,23:31:31,1305,2606,711,1272,1563,2308,34.1,60.8,,,,,,,,,
21/05/2025,23:31:20,1306,2608,713,1270,1567,2320,34.1,60.8,,,,,,,,,
21/05/2025,23:31:09,1306,2607,710,1267,1561,2309,34.1,60.8,,,,,,,,,
21/05/2025,23:30:59,1302,2606,705,1268,1558,2319,34.1,60.8,,,,,,,,,
21/05/2025,23:30:47,1310,2612,705,1274,1566,2310,34.1,60.8,,,,,,,,,
21/05/2025,23:30:36,1313,2612,709,1270,1562,2312,34.1,60.7,,,,,,,,,
21/05/2025,23:30:24,1306,2611,710,1268,1561,2311,34,60.7,,,,,,,,,
21/05/2025,23:30:12,1313,2612,710,1271,1559,2314,34.1,60.7,,,,,,,,,
21/05/2025,23:30:02,1307,2613,704,1271,1565,2317,34,60.5,,,,,,,,,
21/05/2025,23:29:50,1308,2612,707,1266,1571,2312,34,60.5,,,,,,,,,
21/05/2025,23:29:39,1338,2615,710,1266,1567,2316,34.1,60.5,,,,,,,,,
21/05/2025,23:29:28,1316,2612,705,1265,1566,2315,34.1,60.4,,,,,,,,,
21/05/2025,23:29:17,1311,2617,697,1265,1563,2315,34,60.3,,,,,,,,,
21/05/2025,23:29:06,1308,2622,708,1263,1563,2320,34.1,60.2,,,,,,,,,
21/05/2025,23:28:53,1317,2629,706,1275,1570,2326,34,60.1,,,,,,,,,
21/05/2025,23:28:41,1329,2637,722,1275,1579,2332,34.1,60.1,,,,,,,,,
21/05/2025,23:28:30,1328,2642,722,1276,1584,2340,34.1,60,,,,,,,,,
21/05/2025,23:28:20,1321,2630,723,1266,1577,2328,34.1,60.1,,,,,,,,,
21/05/2025,23:28:09,1320,2623,715,1264,1570,2321,34.1,60,,,,,,,,,
21/05/2025,23:27:58,1314,2608,713,1260,1569,2319,34.1,60,,,,,,,,,
21/05/2025,23:27:48,1312,2609,708,1256,1566,2313,34.1,59.9,,,,,,,,,
21/05/2025,23:27:37,1295,2609,709,1253,1564,2308,34.1,59.8,,,,,,,,,
21/05/2025,23:27:26,1319,2616,715,1257,1570,2320,34.1,59.8,,,,,,,,,
21/05/2025,23:27:15,1312,2612,714,1263,1567,2312,34.1,59.7,,,,,,,,,
21/05/2025,23:27:05,1337,2616,717,1261,1564,2313,34.2,59.7,,,,,,,,,
21/05/2025,23:26:54,1316,2620,716,1260,1570,2318,34.2,59.7,,,,,,,,,
21/05/2025,23:26:43,1308,2601,708,1259,1560,2303,34.2,59.7,,,,,,,,,
21/05/2025,23:26:32,1309,2606,705,1253,1560,2303,34.2,59.7,,,,,,,,,
21/05/2025,23:26:19,1310,2610,705,1255,1561,2309,34.2,59.8,,,,,,,,,
21/05/2025,23:26:08,1316,2615,707,1261,1557,2326,34.3,59.8,,,,,,,,,
21/05/2025,23:25:58,1308,2611,703,1262,1563,2307,34.3,59.9,,,,,,,,,
21/05/2025,23:25:47,1309,2612,703,1260,1558,2302,34.3,59.9,,,,,,,,,
21/05/2025,23:25:36,1313,2616,697,1258,1565,2300,34.3,60,,,,,,,,,
21/05/2025,23:25:25,1312,2614,690,1259,1560,2311,34.3,60.2,,,,,,,,,
21/05/2025,23:25:13,1313,2614,681,1263,1563,2308,34.3,60.3,,,,,,,,,
21/05/2025,23:25:02,1319,2628,693,1265,1571,2319,34.3,60.4,,,,,,,,,
21/05/2025,23:24:51,1330,2652,709,1277,1583,2341,34.3,60.5,,,,,,,,,
21/05/2025,23:24:40,1345,2666,708,1292,1589,2352,34.3,60.4,,,,,,,,,
21/05/2025,23:24:28,1340,2669,725,1294,1591,2354,34.3,60.5,,,,,,,,,
21/05/2025,23:24:15,1342,2673,710,1284,1594,2356,34.4,60.6,,,,,,,,,
21/05/2025,23:24:03,1343,2676,708,1285,1591,2360,34.4,60.6,,,,,,,,,
21/05/2025,23:23:50,1345,2677,708,1292,1594,2358,34.4,60.6,,,,,,,,,
21/05/2025,23:23:36,1341,2682,719,1291,1598,2364,34.4,60.7,,,,,,,,,
21/05/2025,23:23:23,1347,2683,716,1292,1598,2362,34.4,60.8,,,,,,,,,
21/05/2025,23:23:12,1345,2675,715,1294,1592,2358,34.4,60.8,,,,,,,,,
21/05/2025,23:23:01,1347,2676,716,1289,1593,2360,34.4,60.8,,,,,,,,,
21/05/2025,23:22:51,1347,2679,714,1295,1594,2359,34.4,60.9,,,,,,,,,
21/05/2025,23:22:40,1346,2679,708,1296,1591,2363,34.4,61,,,,,,,,,
21/05/2025,23:22:29,1349,2686,711,1290,1590,2356,34.5,61.1,,,,,,,,,
21/05/2025,23:22:17,1342,2669,703,1297,1583,2359,34.5,61,,,,,,,,,
21/05/2025,23:22:06,1351,2685,710,1293,1593,2365,34.4,61.1,,,,,,,,,
21/05/2025,23:21:54,1352,2690,710,1302,1594,2364,34.5,61.2,,,,,,,,,
21/05/2025,23:21:43,1344,2694,713,1305,1596,2370,34.5,61.2,,,,,,,,,
21/05/2025,23:21:32,1355,2697,717,1301,1600,2380,34.5,61.3,,,,,,,,,
21/05/2025,23:21:20,1354,2698,713,1303,1594,2359,34.5,61.3,,,,,,,,,
21/05/2025,23:21:08,1360,2714,710,1307,1600,2378,34.5,61.4,,,,,,,,,
21/05/2025,23:20:55,1362,2708,713,1305,1601,2381,34.5,61.5,,,,,,,,,
21/05/2025,23:20:44,1363,2710,719,1305,1601,2381,34.5,61.5,,,,,,,,,
