ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature,class
24282.7,24282.0,1635.7,1635.2,1635.5,1041.2,1040.8,1041.0,6267.4,6267.4,6268.3,1308.6,1308.7,1308.9,3745.2,3745.4,103704.1,103635.5,14135.2,14125.4,14124.9,2544.0,2542.1,2540.8,1234.9,1234.8,1234.9,2153.3,2153.0,2153.2,14357.8,14360.4,20876.6,20880.4,3513.1,3513.4,3513.5,2072.9,2072.4,2072.6,4043.2,4042.4,4041.9,2121.7,2121.8,2122.3,70713.5,70680.5,4618.2,4617.6,1424.9,1423.9,1424.0,3494.7,3494.3,3494.3,1225.0,1224.2,1224.5,1573.9,1573.7,1574.1,4347.4,4346.3,31.02,28.99,Ambient_Air
24281.0,24280.6,1635.5,1634.9,1635.1,1041.1,1040.8,1040.9,6266.0,6265.8,6265.5,1308.8,1308.8,1309.3,3744.9,3744.7,103605.2,103632.4,14136.3,14134.1,14130.4,2543.6,2541.5,2540.7,1234.5,1234.3,1234.4,2153.5,2153.4,2153.4,14358.1,14358.2,20869.9,20860.8,3511.4,3510.9,3511.5,2072.9,2072.2,2072.6,4042.6,4042.2,4041.9,2120.7,2120.3,2120.6,70656.6,70672.7,4616.5,4617.1,1424.8,1423.8,1423.3,3494.0,3493.5,3494.1,1224.9,1224.6,1224.4,1573.6,1573.3,1574.0,4345.7,4345.4,30.98,29.0,Ambient_Air
24279.2,24282.8,1635.4,1634.9,1635.0,1040.8,1040.7,1040.9,6264.5,6264.5,6263.9,1307.8,1308.3,1308.6,3744.3,3745.0,103587.3,103679.5,14134.1,14128.3,14129.4,2543.8,2541.5,2540.5,1234.3,1234.1,1234.2,2152.0,2152.4,2152.8,14356.0,14358.5,20877.4,20872.7,3510.1,3509.6,3510.2,2072.6,2071.7,2071.8,4040.3,4039.9,4039.5,2120.0,2119.9,2120.2,70697.1,70643.6,4616.1,4615.4,1424.1,1423.0,1423.2,3493.3,3493.7,3493.6,1224.8,1224.1,1223.9,1574.1,1573.7,1573.7,4347.0,4346.7,31.049999,28.99,Ambient_Air
24278.7,24276.5,1635.2,1634.4,1634.4,1040.7,1040.6,1040.8,6263.9,6263.3,6263.6,1308.1,1308.5,1308.5,3744.1,3744.1,103651.4,103566.1,14145.2,14135.2,14125.4,2543.5,2541.4,2540.6,1233.9,1233.7,1233.8,2152.2,2151.7,2152.6,14361.3,14360.9,20858.6,20861.7,3509.0,3507.6,3508.2,2072.3,2071.2,2071.3,4038.7,4037.6,4037.6,2119.5,2119.2,2119.3,70676.6,70678.2,4615.7,4615.2,1424.2,1423.0,1423.3,3492.4,3492.6,3493.2,1224.9,1224.3,1224.6,1573.3,1573.0,1573.4,4347.3,4347.0,31.059999,28.99,Ambient_Air
24275.3,24280.9,1635.3,1634.5,1634.6,1040.6,1040.5,1040.6,6263.3,6262.8,6262.8,1308.0,1307.7,1308.4,3743.6,3743.8,103586.6,103604.7,14125.8,14113.2,14119.7,2542.6,2540.5,2539.2,1233.5,1233.5,1233.4,2151.8,2151.4,2151.9,14355.8,14354.3,20861.9,20853.8,3507.9,3507.8,3507.4,2071.9,2070.8,2071.2,4038.4,4037.6,4037.3,2118.4,2118.4,2118.3,70663.0,70686.5,4615.2,4616.4,1423.9,1422.8,1422.9,3491.2,3491.6,3491.6,1224.6,1224.1,1224.0,1573.3,1572.6,1573.1,4347.3,4347.1,31.120001,28.99,Ambient_Air
24279.8,24281.3,1634.5,1634.1,1634.4,1040.4,1040.3,1040.3,6262.2,6262.4,6262.5,1307.4,1307.6,1307.9,3743.4,3743.6,103537.1,103563.2,14129.2,14112.7,14114.3,2543.2,2540.4,2539.4,1233.2,1233.0,1233.2,2151.0,2151.0,2151.3,14357.7,14356.2,20870.7,20871.8,3507.4,3507.1,3506.6,2071.6,2070.7,2070.8,4036.1,4035.9,4036.0,2118.4,2118.2,2118.4,70736.3,70723.3,4613.7,4614.2,1424.0,1423.3,1422.8,3491.6,3491.4,3492.3,1224.3,1223.7,1223.8,1573.4,1572.5,1572.6,4347.1,4345.3,31.15,29.0,Ambient_Air
24280.9,24276.7,1634.5,1634.1,1634.5,1040.1,1039.9,1040.1,6260.6,6260.3,6260.3,1307.7,1307.4,1307.8,3743.2,3743.0,103607.9,103590.5,14130.1,14125.7,14127.0,2541.9,2540.1,2538.3,1232.7,1232.6,1232.6,2151.1,2150.8,2151.6,14351.0,14351.4,20855.8,20848.1,3505.6,3505.0,3505.9,2071.3,2070.3,2070.7,4034.2,4033.5,4032.5,2117.5,2117.5,2117.9,70687.5,70665.1,4614.1,4614.9,1423.2,1422.3,1422.2,3490.2,3490.5,3491.2,1224.3,1223.6,1223.7,1572.9,1572.9,1573.5,4346.5,4346.0,31.17,29.02,Ambient_Air
24277.7,24273.8,1634.3,1633.9,1634.0,1039.8,1039.7,1039.8,6259.4,6259.1,6259.6,1306.9,1307.0,1307.7,3742.3,3742.6,103537.6,103496.2,14114.4,14118.4,14112.1,2541.8,2539.4,2538.5,1232.2,1232.1,1232.3,2150.1,2150.0,2150.3,14348.0,14351.2,20850.8,20854.4,3504.6,3504.3,3504.3,2070.3,2069.7,2070.1,4032.8,4032.1,4031.1,2116.4,2115.8,2116.4,70663.1,70615.2,4613.4,4614.1,1423.4,1422.4,1422.4,3489.6,3489.4,3489.7,1224.0,1223.4,1223.6,1572.5,1572.8,1573.4,4346.4,4345.3,31.17,28.98,Ambient_Air
24266.4,24264.9,1633.9,1633.5,1633.6,1039.6,1039.4,1039.5,6257.6,6257.0,6257.3,1307.2,1307.0,1307.3,3742.0,3741.9,103525.2,103524.5,14118.4,14111.7,14110.6,2540.8,2538.8,2537.5,1232.2,1232.1,1232.1,2150.0,2149.7,2150.0,14347.5,14351.6,20846.1,20851.1,3504.0,3503.3,3503.6,2071.2,2070.2,2070.4,4034.0,4033.1,4033.0,2117.0,2117.0,2117.0,70651.8,70669.5,4614.6,4613.2,1423.4,1422.4,1422.4,3489.7,3489.9,3490.4,1224.1,1223.3,1223.3,1572.8,1572.9,1572.8,4345.5,4344.5,31.26,29.0,Ambient_Air
24264.6,24272.8,1634.1,1633.3,1633.9,1039.6,1039.2,1039.5,6258.4,6257.7,6257.7,1307.5,1307.4,1307.9,3741.9,3741.6,103513.5,103506.5,14115.9,14108.9,14109.7,2541.5,2539.3,2538.6,1232.1,1231.9,1231.9,2150.4,2150.0,2150.5,14346.8,14347.2,20853.7,20849.6,3503.4,3503.0,3503.9,2071.0,2069.9,2070.0,4031.5,4029.9,4029.9,2116.0,2116.0,2116.3,70648.6,70672.3,4613.3,4614.0,1422.5,1421.7,1421.7,3489.0,3488.9,3489.5,1223.8,1223.5,1223.3,1572.9,1572.9,1573.1,4347.2,4346.0,31.379999,28.99,Ambient_Air
